"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd209a",0,1.97628782535238,0.521,0.111,0,"Non-migr cDC2","Cd209a"
"Cfp",0,1.56534754877718,0.867,0.414,0,"Non-migr cDC2","Cfp"
"Klrd1",0,1.48925070363222,0.835,0.354,0,"Non-migr cDC2","Klrd1"
"Mdh2",0,1.42760931094197,0.94,0.718,0,"Non-migr cDC2","Mdh2"
"Il1r2",0,1.31272686813241,0.66,0.305,0,"Non-migr cDC2","Il1r2"
"Napsa",0,1.27361432243511,0.983,0.746,0,"Non-migr cDC2","Napsa"
"Ckb",0,1.17157564941339,0.885,0.552,0,"Non-migr cDC2","Ckb"
"Gm2a",0,1.14907210583365,0.968,0.731,0,"Non-migr cDC2","Gm2a"
"S100a4",0,1.148762230964,0.983,0.788,0,"Non-migr cDC2","S100a4"
"H2-Oa",0,1.13232230514678,0.802,0.385,0,"Non-migr cDC2","H2-Oa"
"H2-DMb2",0,1.12453874215418,0.868,0.563,0,"Non-migr cDC2","H2-DMb2"
"Cd7",0,1.10577398363169,0.475,0.097,0,"Non-migr cDC2","Cd7"
"Clec10a",0,1.02754996093837,0.401,0.137,0,"Non-migr cDC2","Clec10a"
"Ifitm6",0,1.01221073655817,0.529,0.143,0,"Non-migr cDC2","Ifitm6"
"Gsn",0,1.00784867263417,0.868,0.521,0,"Non-migr cDC2","Gsn"
"Fh1",0,0.976194710341958,0.661,0.285,0,"Non-migr cDC2","Fh1"
"Vrk1",0,0.934571529886416,0.738,0.338,0,"Non-migr cDC2","Vrk1"
"Ifitm2",0,0.894458718685702,0.982,0.87,0,"Non-migr cDC2","Ifitm2"
"S100a6",0,0.874538379783352,0.998,0.94,0,"Non-migr cDC2","S100a6"
"Ccnd3",0,0.832049099821646,0.73,0.356,0,"Non-migr cDC2","Ccnd3"
"Limd2",0,0.829673698581814,0.89,0.618,0,"Non-migr cDC2","Limd2"
"Cd300a",0,0.827726191009668,0.752,0.388,0,"Non-migr cDC2","Cd300a"
"Coro1a",0,0.820125723552016,0.991,0.916,0,"Non-migr cDC2","Coro1a"
"H2afy",0,0.808215035394578,0.953,0.752,0,"Non-migr cDC2","H2afy"
"Itgb7",0,0.781372384964271,0.766,0.425,0,"Non-migr cDC2","Itgb7"
"Alox5ap",0,0.760709063917184,0.938,0.691,0,"Non-migr cDC2","Alox5ap"
"Cyp4f16",0,0.73678900088698,0.513,0.181,0,"Non-migr cDC2","Cyp4f16"
"Ltb",0,0.727617506592962,0.5,0.196,0,"Non-migr cDC2","Ltb"
"Rac2",0,0.718188051042448,0.896,0.585,0,"Non-migr cDC2","Rac2"
"H2-Ob",0,0.709801603965649,0.62,0.272,0,"Non-migr cDC2","H2-Ob"
"Eef1g",0,0.706867523655013,0.982,0.902,0,"Non-migr cDC2","Eef1g"
"Emb",0,0.695975809182663,0.702,0.331,0,"Non-migr cDC2","Emb"
"H2-DMa",0,0.683331199538355,0.993,0.867,0,"Non-migr cDC2","H2-DMa"
"Taldo1",0,0.665880275222722,0.962,0.829,0,"Non-migr cDC2","Taldo1"
"Ccnd1",0,0.655135980182806,0.797,0.446,0,"Non-migr cDC2","Ccnd1"
"Rpl4",0,0.646098265584875,0.997,0.979,0,"Non-migr cDC2","Rpl4"
"Eif5a",0,0.633481262715278,0.964,0.87,0,"Non-migr cDC2","Eif5a"
"Rpl14",0,0.632921447712455,0.999,0.988,0,"Non-migr cDC2","Rpl14"
"Rps18",0,0.630116356667177,1,0.996,0,"Non-migr cDC2","Rps18"
"Rpl3",0,0.628627363000484,0.999,0.973,0,"Non-migr cDC2","Rpl3"
"Rpl10a",0,0.625921120132753,0.999,0.971,0,"Non-migr cDC2","Rpl10a"
"Rps4x",0,0.615274275733475,1,0.996,0,"Non-migr cDC2","Rps4x"
"Ldha",0,0.611227735743246,0.944,0.766,0,"Non-migr cDC2","Ldha"
"Akr7a5",0,0.605876261930121,0.507,0.156,0,"Non-migr cDC2","Akr7a5"
"Arhgdib",0,0.603365419285065,0.955,0.786,0,"Non-migr cDC2","Arhgdib"
"Rps27a",0,0.584409010170846,1,0.999,0,"Non-migr cDC2","Rps27a"
"Kmo",0,0.580009959749487,0.58,0.241,0,"Non-migr cDC2","Kmo"
"Rpl13",0,0.571365186521627,1,0.999,0,"Non-migr cDC2","Rpl13"
"Rps8",0,0.570393069663036,1,0.996,0,"Non-migr cDC2","Rps8"
"Rpl8",0,0.561887436022961,1,0.996,0,"Non-migr cDC2","Rpl8"
"Rps6",0,0.561255483884421,0.999,0.998,0,"Non-migr cDC2","Rps6"
"Rpl6",0,0.545808799803096,0.999,0.995,0,"Non-migr cDC2","Rpl6"
"Ppp1r14a",0,0.537650498991935,0.312,0.069,0,"Non-migr cDC2","Ppp1r14a"
